"Position","Name","Appearance","MinutesPlayed","Height","Weight","Rating","TotalShots","OutsideBoxShot","SixYardShot","PenaltyYardShot","TotalGoal","OutsideBoxGoal","SixYardGoal","PenaltyYardGoal","TotalDribble","DribbleLost","DribbleWon","Turnovers","Dispossessed","TotalAerialDuel","AerialWon","AerialLost","TotalTackleWon","TotalTackleAttempt","DribbledPast","TotalInterception","FoulAgainst","FoulCommitted","YellowCard","RedCard","Offside","TotalClearance","ShotsBlocked","CrossesBlocked","PassesBlocked","TotalSaves","SixYardSave","PenaltyAreaSave","OutsideBoxSave","TotalPass","AccLongBall","InaccLongBall","AccShortPass","InaccShortPass","TotalKeyPass","LongKeyPass","ShortKeyPass","TotalAssist","CrossAssist","CornerAssist","ThroughBallAssist","FKAssist","ThrowInAssist","OtherAssist","TotalAccCrosses","TotalAccThroughBall","OwnGoal"
"Goalkeeper",NA,38,3420,188,77,6.55,0,0,0,0,0,0,0,0,2,0,2,2,0,12,9,3,1,1,0,2,5,1,1,0,0,34,0,0,0,146,8,80,58,1019,281,574,161,3,2,2,0,0,0,0,0,0,0,0,0,0,1
"Goalkeeper",NA,37,3330,188,77,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,4,4,4,0,0,4,0,0,0,0,42,0,0,0,125,13,61,51,945,203,447,288,7,2,2,0,1,0,0,0,0,0,1,11,0,0
"CentralMidfield",NA,31,2624,178,76,7.21,69,26,3,40,5,0,1,4,65,26,39,62,68,53,27,26,79,144,65,56,47,47,4,0,5,20,11,2,32,0,0,0,0,2153,58,38,1796,261,37,3,34,4,2,1,0,0,0,2,31,9,0
"CentralMidfield",NA,23,1231,178,76,6.72,42,15,1,26,1,0,0,1,27,7,20,24,23,17,7,10,21,43,22,11,20,15,3,0,2,14,3,1,16,0,0,0,0,920,26,17,787,90,23,3,20,4,0,0,0,0,0,4,0,0,0
"CentralMidfield",NA,28,1331,178,76,6.7,33,12,2,19,4,0,0,4,23,11,12,35,27,34,13,21,34,52,18,9,20,21,0,0,4,3,1,0,6,0,0,0,0,773,26,11,608,128,25,3,22,6,0,0,1,0,0,5,0,0,0
"CentralMidfield",NA,29,2010,178,76,7.07,63,32,2,29,6,0,2,4,63,38,25,43,36,39,18,21,58,104,46,32,29,23,6,0,5,22,3,4,23,0,0,0,0,1641,59,38,1352,192,47,4,43,6,0,0,1,0,0,5,0,9,0
"CentralMidfield",NA,24,1848,178,76,7.27,56,19,4,33,7,2,0,5,36,7,29,49,37,26,10,16,35,71,36,24,33,28,0,0,0,6,3,0,11,0,0,0,0,1239,43,22,1009,165,28,1,27,8,0,0,1,0,0,7,12,10,0
"RightMidfield",NA,2,69,0,0,5.92,0,0,0,0,0,0,0,0,3,2,1,1,4,2,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,20,0,4,13,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"RightBack",NA,35,3135,183,72,7.27,9,2,0,7,0,0,0,0,90,29,61,43,37,73,43,30,129,139,10,84,16,23,4,1,2,129,16,32,33,0,0,0,0,1165,34,116,817,198,14,1,13,3,0,0,1,0,0,2,4,4,0
"RightBack",NA,35,3072,183,72,7.19,7,2,1,4,0,0,0,0,82,28,54,34,44,59,24,35,129,151,22,65,19,21,8,0,1,58,13,25,33,0,0,0,0,1648,34,67,1305,242,25,4,21,4,3,0,0,0,0,1,18,4,0
"RightBack",NA,7,628,183,72,7.52,0,0,0,0,0,0,0,0,15,2,13,9,6,19,9,10,29,33,4,15,3,2,1,0,0,34,7,12,11,0,0,0,0,203,5,23,143,32,3,0,3,0,0,0,0,0,0,0,9,1,0
"RightBack",NA,34,3060,183,72,7.15,7,2,1,4,2,0,1,1,60,26,34,34,21,75,38,37,88,101,13,62,14,31,3,0,1,61,17,23,48,0,0,0,0,1806,27,46,1507,226,31,1,30,4,1,0,0,0,0,3,7,0,0
"AttackingMidfield",NA,2,50,186,80,6.16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"AttackingMidfield",NA,5,221,186,80,6.3,5,2,0,3,0,0,0,0,4,3,1,6,1,27,14,13,5,11,6,1,4,4,1,0,1,2,0,0,4,0,0,0,0,98,2,3,64,29,3,0,3,1,0,0,0,0,0,1,0,0,0
"CentralMidfield",NA,20,1351,184,75,6.48,22,15,2,5,1,0,1,0,17,3,14,14,15,35,14,21,17,39,22,21,5,12,4,0,0,22,4,2,12,0,0,0,0,833,24,20,701,88,12,0,12,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,37,3325,184,75,7,47,27,1,19,7,2,1,4,53,12,41,55,46,95,43,52,79,131,52,54,26,44,10,0,2,55,10,6,33,0,0,0,0,2244,84,58,1793,309,40,2,38,3,0,0,0,0,0,3,59,0,0
"CentralMidfield",NA,35,3062,184,75,6.76,52,20,4,28,5,0,2,3,55,23,32,59,41,78,41,37,71,109,38,34,13,36,7,0,2,54,8,1,23,0,0,0,0,1940,59,49,1560,272,38,2,36,6,0,0,1,0,0,5,0,4,0
"CentralMidfield",NA,37,3167,184,75,6.67,61,26,2,33,4,0,0,4,67,27,40,58,31,112,55,57,64,105,41,31,15,51,9,0,6,31,8,1,38,0,0,0,0,1678,41,44,1274,319,38,2,36,2,0,0,0,0,0,2,7,0,0
"CentralMidfield",NA,29,2452,184,75,6.78,18,8,3,7,2,0,2,0,33,12,21,35,27,58,38,20,52,81,29,39,12,23,6,0,0,25,7,6,17,0,0,0,0,1340,38,22,1102,178,21,0,21,3,0,0,0,0,0,3,3,0,0
"CentreForward",NA,24,1428,185,70,6.4,39,9,5,25,4,0,1,3,10,8,2,40,18,72,22,50,7,19,12,3,11,19,0,0,11,3,0,0,10,0,0,0,0,252,1,1,181,69,13,0,13,3,0,0,1,0,0,2,12,0,0
"CentreForward",NA,25,1312,185,70,6.49,52,17,2,33,4,0,0,4,26,12,14,34,37,73,25,48,14,19,5,5,13,17,2,0,15,2,0,0,13,0,0,0,0,298,2,2,219,75,9,0,9,1,0,0,0,0,0,1,0,0,0
"CentreForward",NA,11,310,177,81,5.95,4,3,0,1,0,0,0,0,9,5,4,13,8,19,11,8,2,7,5,1,3,9,1,1,0,0,0,0,6,0,0,0,0,112,4,3,81,24,6,2,4,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,13,690,177,81,6.35,21,7,2,12,3,0,1,2,20,8,12,23,13,27,12,15,8,12,4,1,4,24,2,0,7,5,0,1,6,0,0,0,0,225,7,6,158,54,10,0,10,0,0,0,0,0,0,0,1,0,0
"CentreForward",NA,11,204,172,69,6.09,7,0,1,6,0,0,0,0,7,6,1,3,4,15,2,13,6,9,3,0,2,7,1,0,1,1,0,0,2,0,0,0,0,51,1,0,35,15,6,0,6,1,0,0,0,0,0,1,2,0,0
"Goalkeeper",NA,2,180,193,82,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,39,11,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,34,2806,175,75,6.8,11,9,0,2,0,0,0,0,26,7,19,22,25,37,20,17,78,136,58,66,42,52,10,0,0,40,21,16,27,0,0,0,0,1450,113,61,1154,122,20,3,17,2,1,0,1,0,0,0,7,0,0
"Goalkeeper",NA,6,496,188,90,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,0,0,13,1,8,4,108,36,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goalkeeper",NA,2,180,188,90,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,3,2,54,16,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,34,2700,174,71,6.61,28,20,0,8,0,0,0,0,32,10,22,33,34,58,17,41,62,113,51,35,32,33,4,0,1,22,4,4,30,0,0,0,0,1353,99,41,1096,117,28,6,22,1,0,0,1,0,0,0,0,0,0
"CentreForward",NA,12,221,190,83,5.98,6,3,1,2,0,0,0,0,4,4,0,10,5,14,3,11,2,3,1,0,4,2,0,0,1,1,0,0,4,0,0,0,0,48,0,1,35,12,1,0,1,0,0,0,0,0,0,0,0,0,1
"RightWinger",NA,32,2084,175,63,6.72,25,13,1,11,4,0,1,3,74,27,47,34,39,9,2,7,20,35,15,17,35,15,2,0,7,10,1,4,19,0,0,0,0,759,56,62,547,94,39,12,27,1,1,1,0,0,0,0,3,0,1
"RightWinger",NA,19,1144,175,63,6.66,16,12,0,4,2,1,0,1,25,11,14,23,19,7,2,5,10,19,9,10,12,7,3,0,1,7,2,4,12,0,0,0,0,562,57,54,376,75,29,10,19,5,0,0,3,19,0,1,0,0,0
"AttackingMidfield",NA,27,1792,172,73,6.93,38,12,1,25,5,1,0,4,58,28,30,41,45,72,19,53,45,71,26,12,40,25,4,0,4,17,2,0,25,0,0,0,0,743,15,13,598,117,33,6,27,3,1,1,1,0,0,1,0,0,0
"AttackingMidfield",NA,30,1592,172,73,6.45,22,6,0,16,1,0,0,1,28,10,18,24,15,37,10,27,28,59,31,15,20,18,0,0,3,12,3,1,15,0,0,0,0,923,18,22,767,116,25,0,25,1,0,0,0,0,0,1,0,0,1
"AttackingMidfield",NA,12,235,172,73,6.22,11,6,1,4,0,0,0,0,7,1,6,10,10,7,3,4,3,11,8,1,5,4,1,0,1,1,0,0,3,0,0,0,0,220,4,3,185,28,7,1,6,0,0,0,0,0,0,0,4,0,0
"AttackingMidfield",NA,30,2113,172,73,7.08,44,17,1,26,4,2,0,2,67,25,42,48,56,59,23,36,59,93,34,20,29,27,2,0,14,35,2,4,34,0,0,0,0,989,23,17,792,157,50,3,47,6,0,0,1,0,0,5,21,3,0
"AttackingMidfield",NA,13,465,172,73,6.53,5,1,0,4,0,0,0,0,11,3,8,10,10,23,9,14,16,23,7,5,11,4,1,0,0,1,1,3,9,0,0,0,0,302,5,7,243,47,9,2,7,0,0,0,0,0,0,0,1,0,0
"AttackingMidfield",NA,15,374,172,73,6.34,5,2,1,2,1,0,1,0,5,3,2,13,5,18,4,14,19,34,15,5,8,7,1,0,1,2,0,1,7,0,0,0,0,266,4,4,224,34,4,0,4,1,0,0,0,0,0,1,2,0,0
"AttackingMidfield",NA,31,2350,172,73,7.1,50,20,3,27,8,0,2,6,56,23,33,51,54,65,22,43,51,91,40,20,30,17,3,0,12,21,2,4,26,0,0,0,0,1407,29,22,1157,199,42,1,41,7,3,0,0,0,0,4,46,3,0
"LeftBack",NA,26,1819,189,78,6.66,15,8,1,6,1,0,0,1,16,7,9,16,12,101,68,33,38,61,23,28,12,26,3,0,2,59,12,7,14,0,0,0,0,697,46,110,395,146,11,4,7,0,0,0,0,0,0,0,18,0,0
"LeftBack",NA,14,1004,189,78,6.66,3,3,0,0,0,0,0,0,11,4,7,12,2,38,23,15,30,42,12,17,10,17,5,0,1,36,4,4,15,0,0,0,0,436,26,24,326,60,3,1,2,1,0,0,0,0,0,1,0,0,0
"RightBack",NA,1,36,178,71,6.65,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goalkeeper",NA,31,2097,180,78,6.87,15,12,0,3,2,2,0,0,75,29,46,35,16,53,21,32,71,100,29,44,51,33,5,0,2,49,5,9,25,0,0,0,0,910,36,37,731,106,14,3,11,0,0,0,0,0,0,0,6,0,0
"Goalkeeper",NA,27,2069,180,78,6.73,13,6,0,7,1,0,0,1,44,15,29,31,17,43,15,28,49,78,29,31,39,23,6,0,1,56,8,17,38,0,0,0,0,912,31,41,720,120,22,3,19,3,1,0,0,0,0,2,35,0,0
"Goalkeeper",NA,24,2060,180,78,6.56,4,2,1,1,0,0,0,0,51,27,24,27,14,64,35,29,47,74,27,25,40,25,7,0,2,48,6,16,21,0,0,0,0,841,26,63,643,109,10,3,7,1,1,0,0,0,0,0,0,0,0
"Goalkeeper",NA,36,3099,180,78,6.84,26,16,0,10,1,0,0,1,66,30,36,61,23,81,31,50,85,131,46,54,70,45,6,0,3,71,13,25,29,0,0,0,0,1452,37,63,1193,159,30,2,28,5,2,0,0,0,0,3,7,11,0
"Goalkeeper",NA,25,2073,180,78,6.71,7,3,0,4,1,0,0,1,48,28,20,25,10,59,28,31,46,68,22,31,43,18,5,1,0,57,7,11,19,0,0,0,0,872,22,42,693,115,11,0,11,1,0,0,0,0,0,1,12,2,0
"CentreBack",NA,31,2670,191,75,6.79,16,4,2,10,3,0,1,2,18,4,14,19,5,176,111,65,30,48,18,45,19,13,4,0,0,107,26,3,17,0,0,0,0,1880,114,113,1449,204,11,3,8,1,0,0,0,0,0,1,3,0,0
"CentreBack",NA,29,2595,191,75,6.77,25,5,2,18,1,0,0,1,17,0,17,27,6,131,77,54,29,42,13,47,15,24,4,0,1,84,16,8,13,0,0,0,0,1838,100,127,1387,224,5,1,4,0,0,0,0,0,0,0,6,3,0
"LeftWinger",NA,12,553,184,65,6.08,7,3,1,3,0,0,0,0,21,9,12,17,22,21,6,15,6,14,8,1,9,7,1,0,2,1,0,1,7,0,0,0,0,147,1,1,111,34,5,0,5,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,22,1170,180,75,6.43,23,5,1,17,2,0,1,1,30,8,22,35,44,74,35,39,25,50,25,7,16,19,1,0,10,7,2,2,18,0,0,0,0,321,6,0,246,69,13,0,13,0,0,0,0,0,0,0,4,0,0
"RightWinger",NA,27,1537,178,72,7.03,11,5,0,6,0,0,0,0,180,44,136,56,50,38,15,23,30,40,10,6,42,20,1,0,1,5,2,4,11,0,0,0,0,369,12,12,246,99,18,2,16,1,0,0,0,0,0,1,27,5,0
"RightWinger",NA,37,2608,178,72,7.49,43,20,0,23,4,3,0,1,247,63,184,88,65,96,45,51,33,48,15,13,77,39,1,0,6,13,3,1,16,0,0,0,0,712,9,24,521,158,48,2,46,9,5,0,0,0,0,4,44,4,0
"RightWinger",NA,10,184,178,72,6.38,2,0,0,2,0,0,0,0,41,16,25,10,7,2,0,2,1,1,0,0,11,4,1,0,0,0,0,0,4,0,0,0,0,30,2,1,22,5,1,0,1,1,1,0,0,0,0,0,0,0,0
"RightWinger",NA,29,896,178,72,6.59,19,7,0,12,1,0,0,1,81,16,65,38,45,58,22,36,16,21,5,6,26,15,1,0,6,6,0,1,11,0,0,0,0,270,5,4,190,71,17,2,15,1,1,0,0,0,0,0,0,0,0
"RightWinger",NA,37,2645,178,72,7.11,43,17,1,25,2,0,0,2,216,63,153,112,65,150,73,77,28,36,8,7,86,47,4,0,7,11,1,1,22,0,0,0,0,700,15,12,519,154,55,3,52,2,2,0,0,0,0,0,0,0,1
"CentralMidfield",NA,7,295,185,77,6.47,11,9,0,2,0,0,0,0,20,9,11,9,15,2,0,2,2,2,0,2,11,2,0,0,0,0,0,0,2,0,0,0,0,191,6,2,157,26,13,0,13,0,0,0,0,0,0,0,4,0,0
"LeftWinger",NA,21,602,174,71,6.47,12,5,1,6,0,0,0,0,35,12,23,18,25,11,6,5,15,17,2,7,21,8,0,0,2,2,0,0,10,0,0,0,0,253,2,3,212,36,10,0,10,2,1,0,0,0,0,1,21,0,0
"LeftWinger",NA,34,2756,174,71,6.92,69,24,2,43,4,0,0,4,128,46,82,107,73,29,7,22,35,66,31,20,59,46,5,0,12,7,1,2,30,0,0,0,0,1049,21,18,828,182,61,17,44,4,2,1,0,0,0,2,3,3,0
"LeftWinger",NA,7,154,174,71,6.31,3,1,0,2,0,0,0,0,13,5,8,9,4,3,1,2,1,3,2,1,3,5,0,0,0,2,0,1,2,0,0,0,0,45,2,1,36,6,2,1,1,1,0,0,0,0,0,1,1,0,0
"LeftWinger",NA,8,290,174,71,6.41,16,5,2,9,1,0,0,1,17,8,9,7,10,5,1,4,5,9,4,2,7,4,0,0,2,3,0,0,1,0,0,0,0,94,3,0,79,12,0,0,0,0,0,0,0,0,0,0,4,0,0
"CentralMidfield",NA,18,421,186,81,6.41,13,10,0,3,0,0,0,0,22,10,12,18,9,27,12,15,13,19,6,16,7,13,2,0,0,1,1,1,4,0,0,0,0,251,13,19,162,57,10,5,5,2,2,2,0,0,0,0,0,0,0
"CentralMidfield",NA,7,122,186,81,6.3,5,2,0,3,0,0,0,0,7,2,5,7,1,8,5,3,3,4,1,1,5,6,1,0,0,6,1,1,4,0,0,0,0,74,2,7,46,19,1,0,1,0,0,0,0,0,0,0,4,0,0
"CentralMidfield",NA,5,136,186,81,6.41,6,6,0,0,0,0,0,0,7,0,7,5,8,5,1,4,5,6,1,3,1,2,0,0,0,2,0,1,0,0,0,0,0,64,3,3,41,17,1,1,0,0,0,0,0,0,0,0,3,0,0
"CentralMidfield",NA,12,723,186,81,6.53,13,12,0,1,0,0,0,0,18,5,13,14,16,25,18,7,20,34,14,9,8,20,2,0,1,8,1,0,8,0,0,0,0,354,28,33,241,52,7,2,5,1,1,0,0,0,0,0,0,0,0
"RightWinger",NA,5,144,186,76,6.33,4,1,0,3,1,0,0,1,6,3,3,4,4,3,0,3,1,2,1,0,3,5,1,0,0,1,0,0,0,0,0,0,0,42,6,0,31,5,1,1,0,0,0,0,0,0,0,0,0,0,1
"RightWinger",NA,25,1630,186,76,6.52,26,11,0,15,0,0,0,0,91,34,57,69,58,52,13,39,17,32,15,9,38,26,3,1,3,19,1,3,5,0,0,0,0,355,14,17,237,87,34,5,29,3,0,0,0,0,0,3,12,0,0
"RightWinger",NA,18,850,186,76,6.47,25,10,0,15,0,0,0,0,53,32,21,26,18,23,9,14,11,15,4,9,23,13,0,0,1,8,1,1,7,0,0,0,0,320,11,8,251,50,16,1,15,0,0,0,0,0,0,0,7,2,0
"Goalkeeper",NA,32,2880,190,80,6.81,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,0,0,2,2,1,2,1,1,1,0,35,0,0,0,98,7,56,35,853,275,422,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goalkeeper",NA,38,3391,190,80,6.8,0,0,0,0,0,0,0,0,1,1,0,1,0,7,7,0,0,1,1,2,7,2,3,1,0,29,0,0,0,127,9,68,50,1008,333,540,133,2,3,3,0,0,0,0,0,0,0,0,0,0,0
"Goalkeeper",NA,16,1440,190,80,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,3,3,0,3,0,1,0,0,10,0,0,0,52,4,30,18,417,129,210,77,1,1,1,0,0,0,0,0,0,0,0,2,0,0
"Goalkeeper",NA,11,873,190,80,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,0,1,0,1,0,0,12,0,0,0,17,1,7,9,260,50,71,137,2,0,0,0,0,0,0,0,0,0,0,8,2,0
"Goalkeeper",NA,3,270,190,80,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,4,5,80,10,17,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goalkeeper",NA,19,1710,190,80,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,5,3,0,3,1,2,0,0,21,0,0,1,68,3,32,33,520,174,297,47,2,0,0,0,0,0,0,0,0,0,0,6,0,0
"CentreBack",NA,26,1924,180,78,6.6,7,0,0,7,0,0,0,0,2,1,1,4,5,118,61,57,35,51,16,26,4,19,3,0,1,118,15,2,8,0,0,0,0,883,57,88,670,68,5,2,3,0,0,0,0,0,0,0,5,0,0
"CentreBack",NA,28,2209,180,78,6.65,10,2,0,8,0,0,0,0,6,4,2,3,2,165,90,75,45,65,20,45,16,32,4,0,0,129,16,4,9,0,0,0,0,961,54,86,686,135,4,1,3,0,0,0,0,0,0,0,3,0,0
"CentreBack",NA,20,1509,180,78,6.25,3,0,0,3,0,0,0,0,1,0,1,9,3,72,42,30,20,39,19,11,7,20,4,1,2,68,7,5,15,0,0,0,0,462,25,43,313,81,4,1,3,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,12,840,180,78,6.55,0,0,0,0,0,0,0,0,10,7,3,5,4,25,19,6,18,24,6,14,4,12,3,0,1,38,4,2,2,0,0,0,0,240,15,29,152,44,3,0,3,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,7,561,180,78,6.85,2,0,0,2,0,0,0,0,2,1,1,2,1,38,24,14,17,22,5,15,3,4,0,0,2,51,6,1,5,0,0,0,0,244,17,13,184,30,1,0,1,0,0,0,0,0,0,0,3,1,0
"CentreBack",NA,3,256,180,78,6.5,0,0,0,0,0,0,0,0,3,0,3,1,3,11,6,5,4,6,2,10,3,3,0,0,0,12,1,0,2,0,0,0,0,117,7,10,85,15,0,0,0,0,0,0,0,0,0,0,2,0,0
"CentralMidfield",NA,2,88,175,69,6.2,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,2,2,4,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,79,7,1,61,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,12,763,175,69,6.4,11,10,0,1,0,0,0,0,8,2,6,18,16,30,11,19,22,44,22,14,8,9,3,0,0,0,2,0,10,0,0,0,0,433,19,15,334,65,7,0,7,1,0,0,0,0,0,1,0,0,0
"RightBack",NA,14,832,183,75,6.64,9,2,1,6,0,0,0,0,3,1,2,5,3,27,18,9,17,22,5,17,3,6,2,0,0,22,3,4,3,0,0,0,0,470,30,35,337,68,13,0,13,0,0,0,0,0,0,0,0,0,0
"RightBack",NA,33,2520,183,75,6.58,9,5,0,4,0,0,0,0,19,8,11,18,19,97,59,38,42,63,21,48,13,22,3,1,1,90,8,18,15,0,0,0,0,1372,70,135,987,180,26,6,20,2,1,0,0,0,0,1,3,0,0
